path,category,basis,review_required,imported_by
"Dockerfile","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"LICENSE","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"PROJECT_MAP.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"README.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"bun.lock","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"content-source/v3/README.md","active","Current V3 dependency or registered V3 runtime content","false",""
"content-source/v3/assets.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"content-source/v3/bosses.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"content-source/v3/catalog.schema.json","active","Current V3 dependency or registered V3 runtime content","false",""
"content-source/v3/locations.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"content-source/v3/outfit-styles.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"content-source/v3/outfits.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"content-source/v3/promise-offers.json","active","Current V3 dependency or registered V3 runtime content","false","src/v3/content/index.ts"
"docker-compose.yml","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/AGENT_MEMORY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/AGENT_PROMPTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/ASSET_MANIFEST.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_ART_INVENTORY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_CHARACTER_ART.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_ECONOMY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_PLAN.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_POSTGRES_VERIFICATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_QA.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEMO_VISUAL_V2.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DEPLOY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DOMAIN_MODEL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/DOMAIN_REVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/FAMILY_LIFECYCLE.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/IMPLEMENTATION_BACKLOG.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/IMPLEMENTATION_PLAN.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/INFRA_COSTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/LOCAL_DEMO.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/MAX_INTEGRATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/MAX_LAUNCH_PLAN.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/MAX_RESEARCH.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/MONETIZATION_AUDIT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/PRODUCT_CONTRACT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/PRODUCT_ROADMAP.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/REVENUE_FORECAST.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/UX_BENCHMARK_2026-08-25.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/V3_BASELINE.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/archive/APPROVED_SPEC_2026-08.md","archived","Historical document, superseded by V3 baseline","false",""
"docs/archive/ASSETS_INTEGRATION_GUIDE_S3_LEGACY.md","archived","Historical document, superseded by V3 baseline","false",""
"docs/archive/README.md","archived","Historical document, superseded by V3 baseline","false",""
"docs/archive/pre_v3/DEMO_VISUAL_V2.md","archived","Historical document, superseded by V3 baseline","false",""
"docs/archive/pre_v3/README.md","archived","Historical document, superseded by V3 baseline","false",""
"docs/art/ART_PRODUCTION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/art/ASSET_BIBLE.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/art/ASSET_COMPONENTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/art/UX_CONTRACT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/content/AUTHORING_CONTRACTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/content/CONTENT_PIPELINE.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/content/RELEASE_OPERATIONS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/content/V3_AUTHORING.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/CONTENT_DICTIONARY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/DATA_CONTRACT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/MIGRATION_MAP.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/PHYSICAL_SCHEMA.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/RUNTIME_DICTIONARY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/data/TRANSACTIONS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/BROWSER_FUNCTIONAL_QA_2026_09_08.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G02_DOMAIN_SCHEMA_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G02_DOMAIN_SCHEMA_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G02_FOUNDATION_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G02_FOUNDATION_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_ACCESS_PROTOCOL_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_ADULT_PROTECTION_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_ADULT_PROTECTION_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_FAMILY_ACCESS_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_FAMILY_ACCESS_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_IDENTITY_ADAPTER_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_IDENTITY_ADAPTER_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_IDENTITY_EXCHANGE_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_IDENTITY_EXCHANGE_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_RECOVERY_LIFECYCLE_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_RECOVERY_LIFECYCLE_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_TRANSPORT_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G03_TRANSPORT_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_AUTHORING_INPUT_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_AUTHORING_INPUT_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_COMPILER_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_COMPILER_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_PREVIEW_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_RELEASE_CARD.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G04_RELEASE_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/G05_V3_CHARACTER_PILOT_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/READINESS_REVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/implementation/TELEGRAM_DEVICE_PREVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/FIGMA_V3_PRODUCT_AUDIT_2026_09_15.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_FAMILY_TEST.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_FAMILY_TEST_RESULTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_1_COORDINATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_1_REVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_ACCEPTANCE.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_ADULT_ACCESS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_ADULT_ACCESS_GRAPH.json","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_COORDINATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_ECONOMY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_REVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_2_SHOP.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_3_COORDINATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_3_HOME.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_3_JOURNEY.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_3_QA.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_ITERATION_3_REVIEW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_NAVIGATION_FIX.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_PAGE_CONSOLIDATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_PLAN_RECONCILIATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_SESSION_DAILY_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_SESSION_RULES_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/reviews/V3_SESSION_SHOP_RESULT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/security/ACCESS_HTTP_CONTRACT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/security/ACCESS_PROTOCOL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/security/ACCESS_VALIDATION.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/security/RECOVERY_LIFECYCLE_TRANSITIONS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/security/TELEGRAM_AUTH_FIX.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/tooling/ANDROID_PILOT.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/tooling/DEVELOPMENT_WORKFLOW.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/tooling/GAMEDEV_SKILLS_LOCK.json","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"docs/tooling/RESEARCH_2026-09-21.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"firebase-applet-config.json.example","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"index.html","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0001_initial_schema.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0013_payments_table.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0014_completions_unique_index.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0015_pet_codes.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0016_referral_integrity.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0017_completion_effects.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/0018_demo_world.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/002_family_hp.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_family_roles.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_quest_tasks.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_streak_fields.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_streak_system_v2.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_task_system_v2.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/add_user_age.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/fix_streak_bugs.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/seed_parents.sql","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"migrations/target/0001_bootstrap.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0002_family_foundation.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0003_identity_exchange.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0004_family_access.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0005_adult_protection.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0006_access_lifecycle.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0007_content_release.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/0008_consent_events.sql","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"migrations/target/manifest.json","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false",""
"package-lock.json","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"package.json","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"raw_assets/КАК_ДОБАВЛЯТЬ.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/build-telegram-preview.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/content/validate-v3.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/maintenance/inventory.mjs","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/start-pg.bat","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/target/benchmark-pin.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","tests/target/isolation.test.ts"
"scripts/target/content-build.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","tests/target/isolation.test.ts"
"scripts/target/content-validate.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","tests/target/isolation.test.ts"
"scripts/target/dev.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","scripts/target/preview.ts | tests/target/isolation.test.ts"
"scripts/target/preview.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","tests/target/isolation.test.ts"
"scripts/target/test-environment.ts","prepared","Target backend/content/access foundation; not fully connected to V3 UI","false","tests/target/consent-postgres.test.ts | scripts/target/preview.ts | tests/target/access-lifecycle-postgres.test.ts | tests/target/adult-access-postgres.test.ts | tests/target/content-release-postgres.test.ts | tests/target/family-access-postgres.test.ts | tests/target/foundation-postgres.test.ts | tests/target/identity-exchange-postgres.test.ts | tests/target/isolation.test.ts | tests/target/postgres.test.ts | tests/target/transport-postgres.test.ts"
"scripts/telegram-preview.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/unpack-local.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/upload-assets.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"scripts/verify-clean-migration.ts","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"server.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false",""
"setup_db.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","server.ts"
"src/App.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/main.tsx"
"src/api/armoireRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/assetRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/authRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/familyRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/habitRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/integrations.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/referralRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/rewardRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/shopRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/skillRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/starsRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/api/webhookRoutes.ts | src/server/apiApp.ts | tests/starsPricing.test.ts"
"src/api/stateRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/taskRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/userRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/webhookRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/api/zooRoutes.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/server/apiApp.ts"
"src/bot/accessControl.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/bot/telegramBot.ts"
"src/bot/cronJobs.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","server.ts"
"src/bot/notifications.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/bot/cronJobs.ts | src/services/streakService.ts"
"src/bot/telegramBot.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","server.ts | src/api/taskRoutes.ts | src/api/webhookRoutes.ts | src/bot/cronJobs.ts | src/bot/notifications.ts | src/bot/webhookRegistration.ts"
"src/bot/webhookRegistration.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","server.ts"
"src/components/AddRewardModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/AddTaskModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/ArmoireTab.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/ShopAndRewardsModal.tsx"
"src/components/BossAvatar.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true","src/components/scenes/BossRaidScene.tsx"
"src/components/CharacterEditorModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/ConfirmModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/ShopAndRewardsModal.tsx | src/components/TodayTasks.tsx"
"src/components/ErrorBoundary.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/main.tsx | src/preview/main.tsx"
"src/components/FamilyManagementModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/FeedJournal.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/HabiticaAnimatedAvatar.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/CharacterEditorModal.tsx | src/components/PartyView.tsx | src/components/ReferralModal.tsx | src/components/RegistrationModal.tsx | src/components/ShopAndRewardsModal.tsx | src/components/scenes/BossRaidScene.tsx | src/components/scenes/DomovoyJournalScene.tsx | src/components/scenes/FamilyHubScene.tsx | src/components/scenes/QuestLedgerTodayScene.tsx | src/components/scenes/WardrobeCustomizationScene.tsx"
"src/components/MobileChecklistModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/Navbar.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/PartyView.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/PetsTab.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/ShopAndRewardsModal.tsx"
"src/components/ReferralModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/RegistrationModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/ResetConfirmModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/Settings/FamilySettings.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/ShopAndRewardsModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/StreakBadge.README.md","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/StreakBadge.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true","src/components/scenes/BossRaidScene.tsx"
"src/components/TodayTasks.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/UpgradeGuideModal.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/UploadAssets.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/FamilyManagementModal.tsx"
"src/components/legacy/LayeredAvatar.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/legacy/PixelAvatar.tsx | src/utils/rpg32bitAssets.ts"
"src/components/legacy/PixelAvatar.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/components/ShopAndRewardsModal.tsx"
"src/components/scenes/BossRaidScene.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/scenes/DomovoyHouseProjectScene.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/scenes/DomovoyJournalScene.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/scenes/FamilyHubScene.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/scenes/QuestLedgerTodayScene.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
"src/components/scenes/WardrobeCustomizationScene.tsx","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx"
"src/components/ui/index.tsx","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true","src/components/scenes/BossRaidScene.tsx"
"src/config/index.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/api/webhookRoutes.ts | src/bot/accessControl.ts | src/bot/webhookRegistration.ts | src/services/notificationService.ts"
"src/data/initialData.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","src/App.tsx | src/api/authRoutes.ts | src/components/ShopAndRewardsModal.tsx | src/components/TodayTasks.tsx | src/components/scenes/QuestLedgerTodayScene.tsx | src/db/backfillCatalog.ts | src/db/seed.ts | src/services/familyGameStateService.ts | src/services/stateService.ts"
"src/db/backfillCatalog.ts","active","Current entry/server dependency; includes legacy compatibility and production branch","false","scripts/verify-clean-migration.ts | server.ts"
"src/db/drizzle.config.ts","prepared","Not reached by selected static roots; requires dynamic/runtime review before archive","true",""
